Source:,C:\Users\marco\Documents\KiCad\Projets\Alexiares_LPF\LPF.sch,,,,,,
Date:,22/07/2020 10:55,,,,,,
Tool:,Eeschema (5.1.5)-3,,,,,,
Component Count:,134,,,,,,
Ref,Value,Footprint,Manufacturer,Type,Vendor,Reference,
L25,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L26,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L27,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L28,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L29,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L30,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L31,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L32,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L33,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L34,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L35,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L36,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
L37,Choke,Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder,Murata,Ferrite bead,Mouser,BLM21PG221SN1D,
P1,SMA,SMA_PINS:SMA_PINS,,,,,
P3,SMA,SMA_PINS:SMA_PINS,,,,,
P4,SMA,SMA_PINS:SMA_PINS,,,,,
RL1,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL2,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL3,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL4,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL5,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL6,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL7,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL8,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL9,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL10,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL11,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL12,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL13,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL14,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
RL15,D2n,2_Form_C_Relay:D2n,TE Connectivity / Axicom,"2formC 12V relay, non latch.",Mouser,655-1-1393793-3,
